LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
YZ5ZMOB0H9,64.0,31676,210929,412,106,1,18.75,36,0.72,Bachelor's,Self-employed,Married,Yes,No,Education,No,0
I87FDVWGBJ,50.0,65524,194613,824,56,2,21.85,24,0.73,Master's,Part-time,Divorced,Yes,No,Home,Yes,1
OY5KZCAJSY,35.0,113815,242949,567,108,3,5.24,36,0.84,Bachelor's,Part-time,Married,No,Yes,Education,Yes,0
TBYB01LV63,49.0,124980,233469,522,68,2,13.16,48,0.6,Bachelor's,Unemployed,Divorced,No,No,Home,Yes,0
4MWCM54XO4,50.0,20469,41414,698,33,3,14.54,12,0.51,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,No,0
TW13F4U0UX,53.0,131941,5164,412,100,1,23.69,36,0.84,Master's,Full-time,Single,No,No,Business,No,0
LS2WQIT2EM,21.0,133701,107143,474,78,2,13.4,48,0.42,High School,Part-time,Married,Yes,No,Education,No,0
ZYSTL166MZ,35.0,93597,121352,623,52,2,7.57,48,0.39,Bachelor's,Unemployed,Married,No,No,Other,Yes,0
B0XP0E6P20,30.0,89637,9089,562,92,4,22.38,12,0.42,Master's,Self-employed,Divorced,Yes,No,Other,Yes,0
2ABPHG5C2W,54.0,45944,92669,536,35,4,9.37,36,0.59,PhD,Part-time,Single,Yes,No,Education,No,0
FQ2ASZIBZ9,32.0,21825,174287,587,86,1,18.27,48,0.37,High School,Self-employed,Married,Yes,Yes,Auto,Yes,0
AELH7FTZ0F,36.0,72045,135782,772,46,1,18.38,60,0.58,Bachelor's,Full-time,Married,Yes,Yes,Auto,Yes,0
S13UPMPT1N,23.0,41750,20559,391,38,2,14.01,12,0.13,Master's,Unemployed,Single,No,Yes,Business,Yes,0
YFFLJXN1ZI,25.0,143282,211147,423,44,4,10.45,60,0.3,Bachelor's,Part-time,Divorced,Yes,No,Education,No,0
NHRF37CJWB,58.0,111940,151529,834,50,4,18.16,24,0.35,Bachelor's,Self-employed,Single,No,Yes,Auto,No,0
3GD8I4QRZ7,54.0,85360,176063,665,113,2,7.95,60,0.47,Bachelor's,Full-time,Divorced,Yes,No,Home,Yes,0
KJWE8LW36Q,34.0,90911,70262,511,95,2,12.81,24,0.86,Bachelor's,Unemployed,Married,Yes,No,Education,No,0
PTRAJ3FFCK,61.0,116790,31098,808,106,4,3.55,12,0.42,PhD,Self-employed,Single,Yes,Yes,Business,No,0
O5R0KI0R75,40.0,75715,12856,802,3,2,15.28,12,0.51,PhD,Unemployed,Single,Yes,No,Auto,Yes,0
YSV4HCMO0Y,46.0,60318,142267,596,109,3,20.68,12,0.83,Master's,Unemployed,Married,No,Yes,Education,No,0
XAK0QK3UFY,61.0,72712,75546,540,81,3,3.87,36,0.86,Master's,Part-time,Married,No,No,Other,Yes,0
X8A57CIADC,54.0,55378,29100,723,8,4,14.55,24,0.62,Master's,Part-time,Married,No,Yes,Other,Yes,0
3SDGWHY3TQ,65.0,51350,42574,823,53,1,21.99,60,0.23,Bachelor's,Unemployed,Married,No,No,Business,No,0
VF76QJS7PL,59.0,81626,187123,485,55,4,17.75,12,0.38,Master's,Full-time,Single,Yes,No,Business,No,0
N9G44EBXYA,39.0,139537,68403,446,9,4,22.68,24,0.11,PhD,Full-time,Divorced,No,No,Other,Yes,0
K6Z4QKN8F5,48.0,58847,76338,757,12,2,24.85,48,0.67,High School,Part-time,Divorced,No,No,Business,Yes,0
8JT71NJB1O,27.0,68352,73453,324,60,4,4.96,24,0.28,Bachelor's,Full-time,Divorced,No,Yes,Business,Yes,0
08FTU6S5QP,61.0,99061,14047,784,2,4,24.72,24,0.66,Master's,Unemployed,Married,No,Yes,Home,No,0
FUHPGYXI5O,56.0,42553,226508,560,3,2,16.31,60,0.45,PhD,Part-time,Married,No,Yes,Business,No,0
MY01U3TQDT,32.0,87498,141802,738,111,3,23.33,12,0.33,High School,Full-time,Married,Yes,Yes,Business,Yes,0
FOZ4BYVZ9J,53.0,20864,241634,411,47,2,7.59,48,0.41,Bachelor's,Self-employed,Divorced,Yes,No,Auto,No,0
4Z11ZFOY0E,23.0,20315,239567,340,15,1,13.93,60,0.3,High School,Part-time,Divorced,No,Yes,Business,No,1
SUS0TTNHH5,28.0,105213,5738,527,16,1,7.22,24,0.52,Master's,Unemployed,Married,Yes,Yes,Auto,No,0
0XVDHW6TPL,27.0,60015,111674,698,55,3,12.59,12,0.57,High School,Unemployed,Single,No,Yes,Business,Yes,0
63TNU9HE91,63.0,42098,98220,547,44,2,21.44,24,0.49,Bachelor's,Full-time,Single,Yes,No,Business,No,0
AY5LV7YRNN,23.0,34844,238424,795,42,1,20.0,60,0.61,High School,Part-time,Married,Yes,Yes,Home,No,1
76FG4ZVYBI,21.0,30201,247539,532,50,1,14.26,24,0.7,High School,Self-employed,Married,Yes,No,Auto,Yes,0
43DB132A0Z,62.0,25515,57387,715,97,2,5.47,12,0.46,High School,Unemployed,Single,No,Yes,Education,No,0
9CPJFQXQ0Z,26.0,22443,143026,552,12,1,22.3,36,0.43,Master's,Unemployed,Married,No,No,Education,Yes,1
5G6R1CY3TI,31.0,146051,197030,340,96,2,21.7,48,0.87,Master's,Unemployed,Divorced,Yes,No,Other,Yes,0
Z8K8KVOQUE,52.0,26725,101466,762,111,1,13.92,24,0.54,PhD,Self-employed,Divorced,Yes,Yes,Other,No,0
60M9B04956,57.0,31645,68929,698,55,3,16.43,12,0.27,Bachelor's,Self-employed,Single,No,Yes,Other,Yes,0
T1CWDTIHOM,53.0,129847,214901,727,97,3,7.21,36,0.16,High School,Part-time,Married,Yes,No,Home,No,0
YEOUP4B0YC,52.0,135923,25562,452,117,4,5.18,60,0.22,Master's,Full-time,Single,Yes,No,Education,Yes,0
